geo_point_2d;geo_shape;objectid_1;objectid;numero;nom;larg;sens;chauss;tunnel;shape_leng;niveau_route;code_statu;gestionn;statut_2;statut;shape_len
48.9079142721, 2.07422263483;"{""coordinates"": [[2.074200682874621, 48.907066998960325], [2.074244586789017, 48.90876154522213]], ""type"": ""LineString""}";5678;168272;111909;N184;3;D;1;0;188.46136087;0;503;Etat;Voie structurante SDRIF;nationale;188.461360873
48.95739326, 2.09070551539;"{""coordinates"": [[2.090603800218036, 48.95759523527032], [2.090807230565157, 48.95719128479225]], ""type"": ""LineString""}";5681;168539;107130;N184;3;D;1;0;47.32728989;0;503;Etat;Voie structurante SDRIF;nationale;47.3272898917
48.8007241654, 1.97798283819;"{""coordinates"": [[1.975915056747917, 48.800468284302546], [1.977891174406558, 48.80056815589055], [1.978799868915136, 48.80064609486596], [1.979101934990047, 48.80078719640716], [1.979696921153523, 48.80164843625713]], ""type"": ""LineString""}";5683;168740;0;;0;;0;0;345.31753296;0;0;;;autre voie;345.317532963
48.7809209582, 2.17285494849;"{""coordinates"": [[2.171713386824278, 48.78102437903536], [2.171886977825131, 48.78099582646049], [2.173234468780893, 48.780889847779605], [2.173998371530292, 48.78083390084132]], ""type"": ""LineString""}";5689;169241;128977;A86;3;>;2;0;169.33286;0;501;Etat;Autoroute DIRIF;autoroute;169.332860003
48.7806188385, 2.17691872018;"{""coordinates"": [[2.176488306115044, 48.780643665755925], [2.177349134244198, 48.78059401118436]], ""type"": ""LineString""}";5690;169243;122472;A86;3;D;2;0;63.49476801;0;501;Etat;Autoroute DIRIF;autoroute;63.4947680119
48.7802713476, 2.17413288386;"{""coordinates"": [[2.17409364782423, 48.78030656569183], [2.1741721199057, 48.78023612951425]], ""type"": ""LineString""}";5691;169248;128988;A86;2;>;1;0;9.72541147;0;500;;;bretelle autoroute / voie rapide;9.72541146944
48.826090095, 2.39140689165;"{""coordinates"": [[2.391359670200059, 48.82613214995202], [2.391454113107454, 48.8260480401247]], ""type"": ""LineString""}";5694;169277;12126;P;2;D;1;0;11.64226096;0;500;Ville de Paris;;bretelle autoroute / voie rapide;11.6422609578
48.7935679311, 2.07658276049;"{""coordinates"": [[2.075735423726283, 48.79344326936582], [2.075782992085052, 48.79345651712944], [2.076574355607783, 48.7935773464339], [2.077433929129207, 48.793666491050864]], ""type"": ""LineString""}";5706;169614;129117;N12;2;D;2;0;127.37958039;0;502;Etat;Voie rapide DIRIF;voie rapide;127.37958039
48.7589091692, 2.48382604957;"{""coordinates"": [[2.485217739676459, 48.759525928702324], [2.483250334874442, 48.758653907621024], [2.482434207401553, 48.75829275313158]], ""type"": ""LineString""}";6177;180637;0;;0;;0;0;246.31129975;0;0;;;autre voie;246.311299747
48.8258279433, 2.39233464648;"{""coordinates"": [[2.392848457713906, 48.82530433485592], [2.39261718102463, 48.825535516939084], [2.391958210005748, 48.826194072077946], [2.391895441500039, 48.82639658378685]], ""type"": ""LineString""}";6190;181140;0;A4;0;;0;0;141.55640694;0;500;;;bretelle autoroute / voie rapide;141.556406939
48.7538727797, 2.35317521772;"{""coordinates"": [[2.353087241560254, 48.753883408480505], [2.35315778264503, 48.753874962670864], [2.353263178603899, 48.753862024945434]], ""type"": ""LineString""}";6192;181163;90720;A86;2;D;2;0;13.15133318;0;501;Etat;Autoroute DIRIF;autoroute;13.1513331898
48.7710144892, 2.44744923674;"{""coordinates"": [[2.44685657894018, 48.771563744968226], [2.447243513716079, 48.77120118734527], [2.447690682062362, 48.770782535379425], [2.448055634488688, 48.77048084080796]], ""type"": ""LineString""}";6203;181302;0;N406;2;D;2;0;149.26285317;0;502;Etat;Voie rapide DIRIF;voie rapide;149.262853166
48.7725260727, 2.39711432994;"{""coordinates"": [[2.398047972863271, 48.772852221179015], [2.397369083997928, 48.77258568112596], [2.396317737238332, 48.77230071797676], [2.39625292931239, 48.77214703938247]], ""type"": ""LineString""}";6677;191278;0;A86;0;;0;0;159.2789974;0;500;;;bretelle autoroute / voie rapide;159.278997392
