area;pop;density;nb_pt;work_or_edu_fac;other_fac;cars_per_persons;big_road;insee
10.3567055;614;59.285262094205535;0;0;21;0.5;0;91393.0
6.904962;794;114.98977112401198;0;0;18;1.0;0;78681.0
6.72473;9538;1418.3469076081865;4;59;288;0.38461538461538464;0;91086.0
9.291634;330;35.51581993005751;0;1;16;0.4;0;91495.0
6.98617;617;88.31734698697569;0;0;23;0.5;0;91671.0
6.226027;347;55.73377693350832;0;0;14;0.0;0;77046.0
11.965421;1707;142.66108981873685;0;1;67;1.0;0;77309.0
13.3121995;2874;215.89219722856467;1;9;112;0.0;0;78233.0
4.334268;20909;4824.113322018851;4;43;726;0.5238095238095238;0;91434.0
2.4170025;59555;24640.024162159534;90;945;6568;0.25925925925925924;0;75109.0
4.2010855;955;227.3222004170113;0;1;25;0.0;0;78034.0
3.8863185;1076;276.8687126389667;3;4;45;0.8;0;78460.0
2.6021565;2826;1086.022304961289;1;16;137;0.5384615384615384;33.2421364111841574.67505350741088171.841944953717506.32216648712944510.216313399397119.33479436593171535.0446023471382319.253459710393821.93493159824719637.60923752557134530.555555555555554234.09946740847585193.77556045187796327.179665737353161036.7532080351612471.8071617054895195.91533087453612102.8884680250581563.1527156074829326.51563329387326539.248130511584634114.68480092994133;77393.0
15.783154;975;61.77472512781666;0;1;30;0.0;0;78567.0
13.2599905;67967;5125.720112695405;17;312;2633;0.323943661971831;385.09273475219123105.73322202622795274.385789171018335.7924201376105406.620879753252947.89060579640235595.187428412298654.42895154207117283.046814323105169.62419507070308225.04514985430603133.42400775224496162.8784068486055295.67997765461611287.92193653701366;91228.0
10.0673075;1738;172.63801666930308;0;3;59;0.5833333333333334;0;77400.0
7.6246645;166;21.77144974706756;0;0;7;0.0;0;77230.0
5.5931175;218;38.97647421138569;0;0;13;0.0;0;77193.0
4.484553;15230;3396.1021310262136;3;58;474;0.42857142857142855;33.94915154060015513.8888888888888936.52696094667281377.6992655119869188.69438674820552176.3472176426147471.45349825931936145.33137763125836412.334562100433954.22046361598846454.48879899608848214.6346667725101764.02977899221713306.46391137330204336.373383494456114.48911637810306462.9852424460922322.0181796857226626.269328772639128137.2944718690552276.31002890825266259.10753951525976158.0069281897173452.04267846190573;77337.0
8.660787;3820;441.0684617922136;0;3;132;0.6666666666666666;0;78327.0
10.0921135;5435;538.5393257814629;0;13;195;0.4444444444444444;186.54348553162268210.81067454641254213.61992140976074486.4839992208526502.0345728694896110.26047849318228;77382.0
12.211065;880;72.0657862356805;0;1;14;0.0;0;78209.0
5.44869;15798;2899.412519339511;3;44;586;0.48717948717948717;88.7655126351150235.53848580022492;95563.0
5.892095;621;105.39544932659776;0;2;21;0.5;0;78050.0
4.493619;894;198.94877603107875;0;1;21;0.8571428571428571;0;91581.0
